19	# 맛이 평범해도 이 집밖에 안파는 메뉴라면 가산점을 줄 수밖에 없잖아? # 영화를 완성시킨건 영화밖의 현실 영화에서 제대로 한장면도 안나온 훌켄버그가 이 영화를 완성시켜줄 줄 누가 알았으랴 # 온세상이 억까 억까를 되게만들려는 무리수의 충돌 정말 이 스토리가 최선이었을까. 왠지 모르겠지만 사이버 포뮬러에서 봤던 클리셰들이 자꾸 튀어나온다. 저건 하야토.. 저건 나이트 슈마허.. # 그럼에도
20	단순한 흥미나 볼거리로 보자면 매우 우수하지만 그 많은 제작비와 잘살린 배우들의 개성을 진부한 설정과 값싼 표현법들로 격하 시킨 기분이 개인적으로 많이 느껴짐
21	매너가 사람을 만든다 또 한번 꼭보기!!
22	어벤져스3로 가는 징검다리인 동시에 새로운 세계관을 쌓아가는 과정. 특출난 작품은 아니지만 특별한 실험이었다.
23	9.3/유쾌상쾌통쾌의 삼박자를 고루 갖추기란 꽤나 힘들텐데도 유쾌한 분위기로 시작해 깔끔하고 화끈하게 밀어붙이다가 마지막 승리로 통쾌함까지 확실히 챙기는, 잘 만든 범죄액션 영화임. / 팀원들끼리 농담도 따먹고 티격태격도 하고, 범인을 잡을 땐 신나게 춤까지 추는 초반부의 유쾌함은 웃음을 주긴 하지만 조금은 과하단 생각도 동시에 들게 함. 이후에 나올 무겁고 심각한 이야기를 어떻게 다룰 지 
24	명존세 가자.
25	하늘에 계신 우리 아버지 그들을 위해 눈을 새로이 뜨고 두 손을 모아 박수를 쳐 꿍짝짝 짝짝쿵
26	한국 영화가 2편까지 잘한 것만 해도 훌륭. 3편까지 기대한 내가 바보.
27	2시간이 넘는 러닝타임에도 끝까지 시청할 수 있는 몰입감이 있었고 성공한 사람들이 말하는 그냥 하면 된다 라는 교훈을 다시 한 번 상기시켜줬다. 똑똑하다고 생각했던 것들이 세상 멍청하게 보인다
28	투박하나 강하다. 이 두 형용사가 여성의 서사 앞에 붙기까지 얼마나 오랜 시간이 걸렸는가?
29	열심히 보고있는데 누가 갑자기 끈 느낌 휴!
30	볼드모트가 안나와서 좋았다
31	재미있게 봤지만 미국의 상류층 가족의 전형적인 가족 중심의 성공기라는 점에서 전혀 원더하지가 않달까?
32	어떻게 레드 제플린과 AC/DC를 헷갈릴 수 있지? 실망이야 스파이더맨.
33	충분히 내세울 만한 첫 블럭버스터 급 한국 전쟁 영화.
34	볼때마다 감동적이다
35	한계, 체념, 익숙함으로부터 탈출하기. 쇼생크는 먼 곳에 있지 않다.
36	이 영화를 3D로 봤어야 했다.
37	다음은 맹수를 잡는 사냥꾼이 되기를 바랍니다..
38	대놓고 키치함 만화에서나 일어날 골 때리는 사건들 그럼에도 캐릭터들이 현실감있고 입체적으로 다가온건 감정이나 서사를 설명하지 않는 대사 때문. 허니버니와 펌킨이 등장하는 오프닝이 가장 키치하고 좋다.
39	천하무적 주인공 패밀리 연출 선넘네...
40	영화를 보지 않은 사람도 음악을 들으면 느끼는 그것.
41	영화는 러닝타임이 너무 길어서 호흡을 따라가기 힘들었지만 영화를 사랑하는 감독의 열정과연출이 빛나 보여서 좋았다
42	전두환 미친놈아..
43	기댈곳 없던 고독한 킬러, 뿌리를 내리다
44	진부한 정치 영화지만 대중을 위해 구성했다
45	전편의 아쉬움을 여러 마크 버전으로 팬들을 달래주는 감독
46	"정말 너의 아빠를 죽이지 않았어. 하지만 어떻게 그걸 증명할 수 있을까?" 인터넷 커뮤니티에서 소위 '대법관 놀이'를 할 수 있는 글들은 언제나 댓글이 만선을 이룬다. 사람들은 진짜인지 가짜인지도 모를 글을 보며 누가 어디서 얼마나 더 잘못했는지를 요목조목 따진다. 우리가 보는 '증거'들은 그 사람의, 사건의, 삶의 아주 일부분들이고 결코 전체와 진실을 담보할 수 없다. 그렇기에 당사자가 
47	내 상상력이 죽어도 못따라간다.
48	이런줄은 몰랐다는 사람들을 위한 입문서... 더하면 더하겠지 요즘같은 시국에
49	조커와 배트맨의 탄생 . 아서가 조커가 되기까지의 흐름이 길어서 조커의 탄생 부분이 좀 짧다는 생각이 들었다. 짧아서 더 보고 싶은 것일 수도!
50	언제나 그렇듯 언제 봤는지 가물한 2회차. 그러나 역시 보고나니 왜 5별점을 주었는지 논할 필요가 없는 아픈 실화의 명작. - 220807 (39), 서울 중구
51	같은 시기 개봉한 군함도와 비교할 수 밖에 없다. 군함도보다 재밌고, 군함도보다 연기가 좋고, 군함도보다 설득력있는 연출이니 당연히 손이 갈 수 밖에. 내게 있어서 518 광주 민주화 운동은 광주 시민의 입장 또는 그 당시 그 고통을 함께 나눴던 당사자의 입장에서 볼 수 밖에 없었다. 그런 내게 제 2의 주체(외국인과 정치냉소자 서울 소시민)의 시선으로 접근했다는 점이 인상적인 부분.
52	신파와 마지막 부분만 아니었다면 더 좋았을텐데
53	내러티브를 배제함으로서 영화자체의 완성도는 아리송하나 장장 영화 절반의 전투신과 최민식의 고뇌하는 이순신장군은 판옥선의 충파처럼 우직하다
54	한국식 눈물자국 영화, 연기는 감히 평가할 수 없음
55	비극을 스포일러 당하고 보니 첫장면부터 마지막까지 분노감이 사라지지 않는다. 그래서 영화적 감상을 할 수가 없고, 현실에 분노할 수밖에 없다.
56	이하늬를 너무 좋아해서 봤다. 영화관에서 사람들이 깔깔 거리는데 이해가 안됐다. ‘도대체 어떤 감독이 이런 고삐리 남학생들을 위한 영화를 만들었을까,,’하는 생각을 계속했는데 영화 끝나고 이 감독이 스물 감독이라는 것을 알았다...허허
57	웡이 반갑긴 한데 중국 자본이 너무 들어간 듯 ᅲ
58	오션스일레븐 한글패치버젼
59	별 5개가모자라 콜린퍼스최고ᅲᅲ
60	공조1이랑 차이가 없다. 그래도 웃을 날도 별로 없는데 조금은 웃겨줬다.
61	짱짱맨 아이언맨
62	아. 뭐랄까.... 이지은의 연기는 뭔가 물위에 뜬 기름처럼 인물로 잘 섞이지 못한 느낌이 들었다. 그녀가 연기한 거의 모든 필모에서 느껴지는 그 요상한 아쉬움이 이번에도 느껴졌다. 잔잔한 이야기 인데. 꼭 과장되게 표현해야 했나 싶다. 등장인물들의 개성을 과장하니 이야기도 현실감 없이 겉돌았다. 보기 전=== 이지은 연기가 궁금하다. 좋은 배우로 성장하길 바라지만 늘 아쉬움을 삼켜 왔는데
63	편집의 아쉬움. 굳이 런닝타임을 그리 길게 잡은 이유가 무엇인지 모르겠다. 첫 대사를 시작하는 순간부터 느낀 정우성 연기의 답답함.
64	스트레인지가 찢어발긴 멀티버스를 거미줄로 단단히 묶어버린 그웬과 마일스.
65	그분들이 뒤집었던 세상과 우리가 뒤집은 세상은 어떻게 다를까 생각해보면 30년이란 세월을 뛰어넘기란 아직 한참 부족하다는 걸 깨달았다.
66	볼 때는 아무 생각 없이 보다가 끝나고 나면 감탄만 나온다
67	그냥 이씨가 연기를 잘한다...? 루즈함
68	세상 모든 별종들을 위하여 우리에게 필요한 것은 강인한 마음
69	오버 앤 오버 앤 오버 어게인.. 경찰대생들이 볼까 두렵다.
70	조금 더 나빠도 되지 않았을까 / 성수 메가박스
71	인피니티워가 얼마나 잘 만든 영화인지 보여주는 속편 그럼에도 불구하고 이 이상의 결말을 만들어낼 수 있었을까 싶다
72	솔직히 4점짜리인데 정우성 취향아니라 .5점 깎음
73	웃기려고 만든 영화가 안웃길때... 고통스러워
74	그의 로맨틱한 과거와 영화캐릭터 연기를 완전히 분리시키고 몰입하면 맘편히 볼 수있다. 연기는 무죄.
75	메두사선배님 짱
76	인생은 멀리서 보면 희극, 가까이서 보면 비극 어느쪽이건 연극이 아닌 적은 없었다
77	우병우만 생각하게하는영화
78	이병헌과 백윤식
79	마지막에 원류환이 통장잔고를 확인하는 장면이 눈물을 쏙 들어가게 만들었지만, 부녀자 입장에서는 망상하기 매우 좋은 영화였다.
80	2탄 못뜬다에 내손모가지 건다ᄏ
81	자파역 더 싸나운 배우였음했지만 전체적으로 매우 꿀잼 🧞‍♂️🧞‍♂️🧞‍♂️ 댄스미쳤냐곸ᄏᄏᄏᄏᄏᄏᄏ - 19.06.14 4D 2차관람 바람쐬줄때마다 넘 시원했고 양탄자는 생각보다 스릴이 덜했던ᄏᄏ 그래도 두번봐도 안졸리고 재밌다!
82	‘기능적으로 영화 찍기’의 거장이 이제는 감정까지 건드리네
83	액션영화의 state-of-art
84	오펜하이머 그는 사람들을 구한 구원자인가 자신의 손으로 인간을 학살한 살인자인가 대의를 위해 한 행동으로 영웅이 되었지만 그에게는 과연 업적일까 족쇄일까 과학자이기 전에 하나의 인간으로서 느껴지는 고뇌와 갈등이 잘 느껴지던 작품
85	부산 배경인건 재미있었고..
86	난 퀸 팬이다. 무슨 말이 필요있겠나.
87	문단속좀잘해라 문단속을똑바로안해서내가울잖아
88	캐릭터들만으로도 4점은 주고 싶은 영화
89	개봉하는 날에 뛰어가 아침 영화를 봤고 전날부터 설레서 잠이 오질 않았다. 전기를 다룬 영화라는 점에서는 다른 어떤 영화가 더 나을 수는 있겠으나, 항상 크리스토퍼 놀란의 표현력에 놀란다. 머릿속에 그려봤으나 실제로 그려지지 않던 것들, 마음속에 느껴지는 복잡한 감정들을 어떻게 표현할 것인가 하는 점에서 놀란은 어떤 경지에 이른 사람 같다. 초반 오펜하이머의 물리학 계산과 아이디어, 내적 갈
90	'영원히...' - 용두사미 한 사발에 유종의 미 한 큰술
91	아름답고 감동적인 라이프 서클
92	재미있나? 재미없나? 재미없진 않은데...재미있지도 않은...그래서 그 빨간애는 어떻게 왜 생긴거야...? 그래서 에디와 베놈은 사귀는거야...? 그래서 찐빌런들이 하고싶은 이야기는 뭐야...? 흠...
93	팔자소관에 대한 픽셀 단위의 디지탏 튜토리얼
94	뛰어난 흡입력의 맛있는 영화. 과거 정통 공포영화에서 쓰이던 클래식한 연출 뿐만 아니라 70년대를 배경으로 설정했기에 보여줄수 있는 신선한 연출이 섞여 재미난 공포영화를 만들어냈다. 연출의 승리. 화면비를 이용한 스토리 전개는 꽤 신선해서 좋았음. 스토리가 탄탄한 오컬트 영화는 언제나 환영합니다.
95	두 시간 반이 넘어....
96	잘 만든 동화. 함축적이지만 폭발하는 무언가는 없다. 그게 장점이라면 장점.
97	눈부신 현빈의 미모에 다니엘헤니까지 더해져서👍 마지막 쿠키에서의 약속은 너무슬펐다 지켜지지못할것같아서 ᅲ ᅲ
98	영웅들의 약한모습을 보는 재미?! 곳곳에 흩뿌려진 떡밥들을 찾아 먹는 재미가 쏠쏠한 마블 시리즈였다~
99	김아중의 원 히트 원더
100	별점 5점이 적을 정도 호아킨 피닉스가 히스레저를 나는 넘었다고 생각함 특유의 음울함과 광기어린 웃음이 잘 조화된 영화
101	음악이 흥행에 미치는 영향의 좋은 예. 음악만 건진 영화. let it go로 엘사의 캐릭터가 바뀌었다고 하니.. 그래도 그렇지.. 스토리전개가 망붕
102	가오갤 맴버들의 케미로 감동, 재미, 여운까지 남겨준 시리즈의 화룡점정. 올드팝도 듣는 맛까지 선사해준 작품
103	이 영화보면서 박그네 정부가 떠오름
104	아쉽지만, 어쩔 수 없던 마무리.
105	한국 영화의 새로운 시도. 익숙한 풍경에서 펼쳐지는 액션이 신선하다.
106	진부한 클리셰의 범벅. 이런 내러티브는 이제 차고 넘친다.
107	진실된 사람들만 느낄 수 있는
108	잔잔하고 단순한 영화지만 창의적 표현이 깊은 인상과 소소한 재미를 유발한다ᄒᄒ
109	감정이입쩌네,,,,ᅲᅲᅲᅲ흑흑ᅲᅲᅲᅲᅲᅲ 후반부에선 그냥 죽어버렸으면 더 좋았을거란 생각도 했지만 그런 유치한 해피엔딩도 이쁘게 재치있게 푸니까 나쁘지않았어요 디즈니는 낡은 마음에도 어린 울림을 주는 정말 멋진곳이야!
110	기억나는 건 류현경의 명대사 뿐 ...
111	크... 그 관객과 관객 목소리로 가득 찬 공연장... 보는 내가 벅찬다.. 내가 가수면 더 짜릿하겠지..! 라미 말렉 정말 연기잘한다 그리고 실제 인물보다 좀더 우수에 찬 느낌의 페이스다. 브루노마스를 더 닮음 벤 하디 예쁘장 ᄒ.. 클로이모레츠닮았다 그리고 톰 홀랜더 목소리 하나는 진짜 ..bb
112	유아인이 연기하는 캐릭터 조태오에 대한 미움 에너지를 모아 별점으로 승화시킨게 분명하다
113	판타지가 섞인 성룡의 영화들을 보는거 같았다 걸레 몇번 짜면 강해지곤 했지 터미널cgv alone
114	1. 개인적으로 문을 닫을 때 주문을 읊을 때마다 오글거린다는 느낌이 들었는데 생각해보니 너무 주술 주문같은 걸 매번 똑같이 읊어대니 그리 느껴지지 않았나 싶다. 차라리 문을 닫을 때 그 지역의 잊혀진 사람들의 모습들이 겹쳐지면서 그들을 기리는 기도문을 각각 다르게 읊으면서 문을 닫았으면 문을 닫는 장면이 더 극적으로 보이고 몰입이 잘 되지 않았을까하는 아쉬움이 남는다. 2. 아무리 다이진이
115	이제 이런 영화로 삶에 희망을 얻을 수 없다는 걸 절실히 느껴 버린 ••• 허무맹랑한 어른이 되어 버렸음.
116	배우들의 연기력에 홀린다
117	안 영화같은 인생 키스신이없는 영화같은 인생
118	사랑해요 동원참치
119	영화관에서 보고 군대에서 또보고 다 울었다...필승..
120	가도가도 너무 멀리갔어... 컴버비치의 재능을 쓸데없는데 썼어... 레이첼 맥아담스는 이제 너무 늙었어... 딴거 해.
121	마술적 스토리텔링 혹은 플롯장난질
122	thᅡ무엘 아저씨 수고했어요..GIVE IT UP
123	가장 중요한 것은 내가 진정 하고 싶은 일을 찾아나가는 것
124	집근처에 IMAX3D를 상영하는 곳이 없어서 아쉬운데로 4DX로 봤는데 만족! 액션마다 흔들어대는건 과했지만? 지루할틈이 없었다
125	수많은 논란에도 불구하고 나온 영화. 우려와 달리 무조건적인 페미니즘이나 피씨는 나오지 않았으나 스토리의 개연성은 크게 떨어지는 편. 보면서 "갑자기?!"라는 생각이 몇번이나 들었다. 굳이 꼭 챙겨보지 않아도 되는 마블 영화일듯
126	이런거참재미업어
127	오랜만에 만난 친구들과 옛날이야기 하며 논거같다.
128	앰버에게서 느낀 찐한 K장녀 성장기 . 혼자 전전긍긍 참고 해결하려는 효녀 앰버 사실 내 생각만이 답이 아니란걸 나와 다른 성격의 타인을 통해 느낄 때가 많다 부정하고 싶고 용기내기 어렵지만 그래도 시도해보면 멋진 세상이 펼쳐질거라구!
129	반드시 기뻐야하만 할 이유도...꼭 슬퍼야만 하는 일도 없다. 시간이 흐르고 희노애락이 섞이다보면 인생이 된다.
130	오락영화?
131	유쾌하게 꿈꾸는 영화
132	오랜 내 의문을 영화로 멋지게 풀어준 영화이다. 축구 선수는 축구는 내 인생이다 말하고 음악하는 사람들은 음악이 내 전부다 라고 말하지만 그렇다면 그 사람들이 축구, 음악을 못하게 되면 인생이 무가치 해지는 것인가? 그런 명언들은 듣기엔 멋있어 보이지만 목적 없는 삶은 무의미 하다고 말한다. 뚜렷한 목적 없이 살아가는 사람들에게 잔인한 말으로 들린다. 맛있는 것을 먹고, 좋은 영화를 보는 소
133	2001 스페이스 오딧세이에 비하자면 몇년을 퇴보한건지 헤아리기도 어렵지만 그런 비교는 차치하더라도 감정과 뽀록에 기대려고 몇년을 청강했다는 자랑은 너무 낯부끄러운거 아닌가. 그나저나 놀란은 어디 간 거.
134	연기 빼면 아무것도 없는 영화.. 참신한 소재를 잘 못 활용한 케이스 중 하나.
135	히어로물은 취향이 아니지만 이건 안좋아 할 수가 없다
136	두고두고 기억하게될 명장면,명대사들의 향연
137	빌런의 중요성을 떠올리게 해주는 영화. 전형적인 미국 가족영화에 히어로물 소스를 부어서 먹을만 했지만 맛은 없었다
138	인셉션 안 본 뇌 산다는 댓글이 공감됨
139	시류에 맞춰 계몽영화로 변신해 태평양을 건너온 포레스트검프.
140	역사극과 오락영화 사이에서 갈팡질팡 갈길을 잃는다.
141	영화가 시작될 때 어떤 장면도 없이 소리만 나오는데 그게 너무 기괴했음 화면 전환이 되면서 가족들의 일상과 새소리 같은 평화로운 소리가 나오는데 이전의 소리와 대비되는 모습이 너무 인상적이였음 나치 시절의 영화는 유대인을 도와주는 위인 혹은 전쟁에 참여한 군인들에 대한 영화만 봤었는데 그게 아닌 가해자의 입장으로 본 그 시절의 군인 가정에 대한 모습이 참 역겹다는 생각이 들었음 화면 상으로는
142	재밌게 봤다. 중간에 몇 번 비슷한 스토리가 반복되는 게 지루할 수도 있는데 작화가 너무 좋아서 몰입해서 보게 됨 너의 이름은, 날씨의 아이와는 다르게 OST가 많이 이용되지 않은 것 같아 아쉽다. OST가 나올 때의 그 전율을 참 좋아하는데... 마지막 부분의 희망찬 메세지가 참 좋았다. 감독님이 일본인들 모두에게 전하는 메세지로 느껴졌다
143	곧 개봉하는 앤트맨이 큰 역할을 할 것 같다
144	전반에 속도감 있게 만들어낸 캐릭터들이 듬성한 후반부를 메운다. 해영선배 홧팅~!!!
145	제목 그대로 난장판
146	순수한 마음은 가끔 의도치않게 다른 이의 폐부를 깊숙이 찌르고 생채기를 낸다. 누군가에게 괴물로 보인 사람들은 사실 그 누구도 괴물이 아니지만, 그 사실을 아는 사람은 아무도 없다는 비극.
147	박물관이라는 소재로 보여줄 수 있는 상상력과 코믹함. 어릴 적 본 영화는 좋은 기억만 있다. 어쩔 수 없나.
148	스스로 영화가 아닌 CG쇼라고 선언 난생 처음으로 영화관에서 졸았다. 자지 않으려 노력해도 잠이 솔솔 왔다
149	그 장대한 서막.
150	흐규규.. 이런 상황에 처하면 어쩌죠,,
151	소재랑 감정, 관 수 밀어붙이기로 돈 벌려는게 너무 보이는 영화.
152	오펜하이머는 담배를 못끊겠다
153	모두를 설레게 하고 즐겁게 했던 박물관 투어
154	인상적인 몇 장면을 위해 희생된 전체
155	놀란의 머릿속을 맴돌던 생각. 을 풀어내려고 시도한 흔적. 을 겹겹이 쌓아올린 영화. 소설 빠삐용이 떠오르는 쿠퍼 스테이션.
156	무엇보다 시작 과 끝 은 너무 좋았다
157	디테일이 이리도 중요하구나
158	무난한 한국 오락 영화입니다.
159	놀란 참 놀랍다
160	절제된 건조한 마무리가 아쉽다
161	사회적 부합리함을 타파하고자 하는 숭고함을 위한 작품이라 하더라도 인물들은 양극단으로 밀어붙여 관객의 입에 쑤셔 넣으니 소화 시키기가 너무나 힘들다.
162	흔하지 않은 우정의 처음과 끝 모두 아름다웠다
163	더 잘 할 수 있었을 것 같지만...알 게 뭐냐 Show must go on~ 근데 영화관에서 따라 부르는 건 대체 왜 그러는 거냐? 따라부를 수 있으면 내가 제일 잘 부를 수 있어 미친아
164	쿠키가 인상적 내년이 기대되는군!!!!!!!!!!!!!! 끼야야야야야얏
165	마지막 장면은 눈물이 안 나올수가 없었다..아들에게 삶을 선물해준 위대한 아버지 귀도
166	좁은 기차 객실안에서 볼 수 있는 사회의 축소판
167	아우 진짜 저 연기 괴물들
168	사람들은 재밋다고 하는데 나는 글세...특출난건 호아킨 피닉스의 연기뿐...이건 dc 의 조커가 아니라 호아킨 피닉스의 조커였을 뿐이다
169	이런 멍청한 재벌이 어딨어...
170	웃어야하나 말아야하나
171	내가 애니에 2점을 주네 ᄏᄏ 1편도 솔직히 스토리랑 그 깊이가 너무 얕았는데 2편은 심각하네. 겨울왕국 네임 때문에 사람들이 평점을 더 높게 준거지 안 그랬으면 완전 B급 만화에 평은 바닥을 쳤을거다 ᅳᅳ
172	요기가 시네필이 다 모여있다는 집결지 장소인가요? 아 맞군요. 제대로 찾아왔네요. 저는 시네필은 아니지만... 맨 끝자리 구석에 조용히 앉아있겠습니다. 각자 자기소개와 소감들 잘 읽었습니다.
173	'신세계'의 조합은 역시나
174	(웹툰을 안봤다면) 캐릭터를 정말 잘 극화한 수작 스릴러
175	자유는 인간을 500야드의 하수구를 기어가게 만들고 희망은 인간을 20년동안 땅굴을 파게 만든다
176	고풍스럽게 퍼덕거리는 은빛 서스펜스
177	슬프지만 이젠 보내줘야 할때... 지구 지켜줘서 고마워요...
178	이 썩은 사회는 과연 나아지고 있을까?
179	영화보고 나왔을때 '영화가 지금까지의 어느 스파이디 영화보다 너무 밝고 건강해서 거기서 유일하게 어두운 것이 톰 홀랜드를 향한 나의 더러운 흑심 뿐이었다'는 리뷰가ᄏᄏᄏᄏ 너무나 이해돼서 미쳐부럿음 그리고 두번째 쿠키ᄏᄏᄏᄏᄏ웃음지뢰ᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏ
180	맥거핀! 그리고 젊은 톰크루즈
181	어디 한번 두고 보겠다 처음부터 작정하고 보거나 N차 관람 하거나 아니다, 관람 후 조금 곱씹어 보기만 해도 크고 작은 구멍이 있긴 하다 그럼에도 별 3개 그리고 응원 별 1개 추가 나중에 딴소리할지언정 🫥 일단 '첫인상'으로만 판단하기로 간만에 볼만했다 🫠
182	불편한 자극이 현실의 자각이라도 되는 것 마냥 위세하기는.
183	일제강점기 당시 독립운동가들의 숨막히는 일상을 가장 사실적으로 표현한 영화라고 생각된다
184	스크린으로 멋지게 옮기다
185	1분 1초도 놓치지 않았던 평생 가장 강렬하면서도 극단적인 감정적 체험. [1회차: Blu-Ray]
186	박보영이 돌 던질 때 나도 같이 돌을 던졌다 눈물 나올뻔
187	광대 이병헌 왕이병헌연기는 가히 소름이었다
188	지루한데 집중하느라 기가 다 빠진다 ;; 내가 이걸 왜 보고 있어야하는지 단 한 부분도 납득하지 못함. 보는 내내 상영관 밖으로 나가고 싶은 영화는 처음.
189	핵 연쇄 반응에서, 플롯과 인물간의 다층적인 연쇄 작용으로.
190	사랑이 넘치네<3
191	생존 자체가 목적인 동물의 세계에 인간사가 보이네요 서열은 바뀔 수는 있지만 국한되어 있고 권력욕이 모두를 죽이는 줄도 모르고 어리석은 행동을 하는 무리들도 있고 대부분의 무리들은 생태계의 법칙에 순응하며 살고 언젠가는 다 내려놓고 생의 고리를 따라가야지요 영원한건 없잖아요 기술력은 완전 인정 BUT 현재의 것으로는 채워지지 않는 옛날의 그무엇이 점점 아쉬워질 것 같은 느낌 어른이가 된 우리
192	배우 강동원은 의외로 장르를 가리지 않는 대범함이 있다. 그리고 그것을 꽤나 잘 살린다.
193	내용은 코믹스랑 가장 비슷하던디 왜 흥행은...
194	나만 별로였던 게 아니었구나
195	첫 20분만으로도 아이맥스로 봐야될 이유는 충분하다.
196	라이온 킹은 나랑 동갑이다. - 아빠의 말을 빌리면 나랑 여동생은 라이온 킹 비디오가 늘어질 때까지 영화를 봤다고 한다. 기분이 안 좋아도 이 비디오만 틀면 그렇게 좋아했단다ᄒᄒ 알 수 없는 '아~~스벤야~~~왈왈이~~~치와와~~' 하는 오프닝을 쉴 새 없이 따라 부르면서... 그러다 스카나 쉔지와 같이 무서운 장면이 나오면 냅다 방으로 뛰어가 눈을 가리고 "끝났어?"라고 묻곤 했었다. 그래
197	ᄂ잼 꼰대파티 ᄌᄂ잼
198	좀 과하게 진지한것 보단 가끔을 웃을 때도 필요하다
199	저 섬에서 춤추고 노래하며 영원히 살고싶다
200	가장 좋아하는 내 배우에게도 혹여나 매너리즘이 온건가... 싶어 아쉬웠다.
201	콜린퍼스 1점+줄리안 무어 1점. 빅픽쳐를 위한 징검다리인건지, 그냥 맛탱이가 간건지...
202	현재를 즐기는 과거를 슬퍼하는 미래를 기대하는 시간을 사랑하는 법
203	근육 근육 근근육근육
204	오션스일레븐 허술한 짝퉁
205	조인성씨 발성 좀..
206	프랜차이즈 때문에 모았던 엑스맨 프랜차이즈 덕분에 모인 어벤져스 10년의 불확실한 큰 그림이 세상에 마상에
207	재난영화의 최고
208	결말로 딴지걸지말자 충분히 재밌다
209	짜릿하지만 여운이 남지 않는다.
210	액션 영화가 보여줄 수 있는 연출의 끝을 보여줬다. 물론 스토리는 이제 기대 안했으니 넘어가자
211	판도라 속에서 살고 싶을 정도로 끝내주는 영상미만큼은 인정.
212	추억을 되살려낸 감동, 그 외엔 딱히. 앞으로 마블 영화는 삼가기로.
213	좋은 드라마지만 아픈 역사를 위로받은 느낌이 덜해 못내 아쉽다.
214	뇌 빼고 보면 그럭저럭
215	덜 떨어졌지만 착한 친구 베놈
216	최두일과 여검사님!!! 요상하게 조인성의 나레이션이 별로였다
217	남편의 죽음과, 부부의 관계 이 두가지 추락을 낱낱이 해부하는 이 영화의 제목은 그야말로 영화를 관통한다.
218	인생애니 등극
219	캐리비안의 해적 짝퉁이라는 말 때문에 기대안했는데 꿀잼 ᄏᄏ
220	그낭 팝콘 무비가 되어버렸네...
221	어렸을 땐 진심 재밌었는데... 별 말 없이 같이 봐준 친구한테 고맙고 미안했다 ᄏᄏᄏ ᅲᅲ
222	1도 웃기지 않는 코미디.
223	이 소름 어떻하지? 뭐 이런 미친영화가 있나....국내외 통틀어서 올핸 곡성 뛰어넘는 영화는 못나온다.
224	...이 영화는 무엇을 우리에게 말해주고 싶었던걸까
225	그럼에도 내게 늘 불씨가 되는 픽사의 영화 어쩌면, 결국엔, 물복이 이기나 봐? 그치 믕아
226	굿! 개인적으로 매우 좋아함. 탐 크루즈의 연기가 항상 최고는 아니지만 언제나 저평가되고 있음.
227	롤랜드 에머리히가 영화감독으로서 보여줄 수 있는 최대치.
228	말, 그것이 가지는 가치와 책임에 대한 깨달음. 어떤이는 치열하게 땀을 흘리고, 어떤이는 반성하며 눈물을 쏟았다. 그 모든 과정을 통해 나는 민주주의의 희망을 보았다. 유죄인지 무죄인지는 더 이상 중요한 것이 아니었다.
229	오퍼레이션 리암니슨 섭외
